min_start,min_start_real,t_mean,DateTime,bw,mo2,mo2_unscaled,mo2_scaled,mmr,ID,temp,percent_mmr,aas,mo2_recovered,percent_aas,fas_available,rmr,mo2_minus_rmr,ln_mo2_minus_rmr,mmr_50,B,beta,Bebt,ln_mo2_minus_Bebt,A,alpha
20,19,18.04,8/14/2021 12:04,0.0175,5.352832,0.09367456,4.844077295,11.09852583,A08,16,43.64613255,9.433253099,6.254448535,66.3021385,2.291153744,1.665272731,3.178804564,1.156505203,5.549262915,3.501130793,-0.012281,2.772493234,,5.841864444,-0.11956
30,29,18.15,8/14/2021 12:14,0.0175,4.707288,0.08237754,4.259888396,11.09852583,A08,16,38.38247044,9.433253099,6.838637434,72.49500636,2.605356009,1.665272731,2.594615665,0.9534384,5.549262915,3.501130793,-0.012281,2.452080873,,5.841864444,-0.11956
40,39,18.31,8/14/2021 12:24,0.0175,4.561216,0.07982128,4.127699667,11.09852583,A08,16,37.19142281,9.433253099,6.970826163,73.89631222,2.688791997,1.665272731,2.462426936,0.901147423,5.549262915,3.501130793,-0.012281,2.168698027,,5.841864444,-0.11956
0,0,17.91,8/14/2021 11:56,0.0132,14.33762091,0.189256596,12.872919,12.872919,A10,16,100,,,,1,,12.872919,2.555125802,6.4364595,3.501130793,-0.012281,3.501130793,2.237703922,5.841864444,-0.11956
8,8,18.04,8/14/2021 12:04,0.0132,6.402763636,0.08451648,5.354327951,12.872919,A10,16,41.59373605,,,,2.404208169,,5.354327951,1.677905197,6.4364595,3.501130793,-0.012281,3.173509267,0.779700349,5.841864444,-0.11956
18,18,18.15,8/14/2021 12:14,0.0132,5.192689091,0.068543496,4.342399926,12.872919,A10,16,33.73283034,,,,2.96447108,,4.342399926,1.468427174,6.4364595,3.501130793,-0.012281,2.80675216,,5.841864444,-0.11956
28,28,18.31,8/14/2021 12:24,0.0132,4.91436,0.064869552,4.109646491,12.872919,A10,16,31.92474443,,,,3.132366501,,4.109646491,1.413337013,6.4364595,3.501130793,-0.012281,2.482380553,,5.841864444,-0.11956
38,38,18.41,8/14/2021 12:34,0.0132,4.582276364,0.060486048,3.831940675,12.872919,A10,16,29.76745737,,,,3.35937325,,3.831940675,1.343371379,6.4364595,3.501130793,-0.012281,2.195496024,,5.841864444,-0.11956
48,48,18.62,8/14/2021 12:44,0.0132,5.287058182,0.069789168,4.421316327,12.872919,A10,16,34.34587235,,,,2.911558018,,4.421316327,1.486437463,6.4364595,3.501130793,-0.012281,1.941766256,,5.841864444,-0.11956
0,0,24.78,8/17/2021 11:32,0.0163,14.25302423,0.232324295,12.60832132,12.60832132,2501,25,100,7.129963882,0,0,1,5.478357438,7.129963882,1.964306169,6.30416066,3.501130793,-0.012281,3.501130793,1.288911134,2.522751069,-0.07443
10,9,24.7,8/17/2021 11:41,0.0163,11.98466521,0.195350043,10.6320065,12.60832132,2501,25,84.32531366,7.129963882,1.97631482,27.71844083,1.185883523,5.478357438,5.153649062,1.639705019,6.30416066,3.501130793,-0.012281,3.134773742,0.702540584,2.522751069,-0.07443
20,19,24.59,8/17/2021 11:51,0.0163,9.706202147,0.158211095,8.61070397,12.60832132,2501,25,68.29381764,7.129963882,3.99761735,56.06784854,1.464261385,5.478357438,3.132346532,1.141782414,6.30416066,3.501130793,-0.012281,2.772493234,,2.522751069,-0.07443
30,29,24.67,8/17/2021 12:01,0.0163,9.905757117,0.161463841,8.78773601,12.60832132,2501,25,69.69790654,7.129963882,3.82058531,53.58491815,1.434763323,5.478357438,3.309378572,1.196760429,6.30416066,3.501130793,-0.012281,2.452080873,,2.522751069,-0.07443
40,39,24.81,8/17/2021 12:11,0.0163,9.424551779,0.153620194,8.360842294,12.60832132,2501,25,66.31209724,7.129963882,4.247479026,59.57223762,1.508020469,5.478357438,2.882484856,1.058652719,6.30416066,3.501130793,-0.012281,2.168698027,,2.522751069,-0.07443
50,49,24.85,8/17/2021 12:21,0.0163,9.038071902,0.147320572,8.017982773,12.60832132,2501,25,63.59278582,7.129963882,4.590338547,64.38095091,1.572505414,5.478357438,2.539625335,0.932016564,6.30416066,3.501130793,-0.012281,1.918065258,,2.522751069,-0.07443
0,0,24.77,8/17/2021 11:31,0.0223,12.49557022,0.278651216,11.46049232,11.46049232,2502,25,100,7.054530363,0,0,1,4.405961957,7.054530363,1.953670015,5.73024616,3.501130793,-0.012281,3.501130793,1.267904771,2.522751069,-0.07443
10,10,24.7,8/17/2021 11:41,0.0223,10.38794987,0.231651282,10.06078815,11.46049232,2502,25,87.78670121,7.054530363,1.39970417,19.8412098,1.139124704,4.405961957,5.654826193,1.732509374,5.73024616,3.501130793,-0.012281,3.096511019,0.939348907,2.522751069,-0.07443
20,20,24.59,8/17/2021 11:51,0.0223,7.885722915,0.175851621,7.637367208,11.46049232,2502,25,66.64083003,7.054530363,3.823125112,54.19389974,1.50058155,4.405961957,3.231405251,1.172917105,5.73024616,3.501130793,-0.012281,2.73865247,,2.522751069,-0.07443
30,30,24.67,8/17/2021 12:01,0.0223,7.531400987,0.167950242,7.294204418,11.46049232,2502,25,63.64651897,7.054530363,4.166287902,59.05833114,1.571177837,4.405961957,2.888242461,1.060648172,5.73024616,3.501130793,-0.012281,2.422151028,,2.522751069,-0.07443
40,40,24.81,8/17/2021 12:11,0.0223,7.427027085,0.165622704,7.193117705,11.46049232,2502,25,62.76447385,7.054530363,4.267374615,60.49126441,1.593257999,4.405961957,2.787155748,1.025021631,5.73024616,3.501130793,-0.012281,2.142227124,,2.522751069,-0.07443
50,50,24.85,8/17/2021 12:21,0.0223,7.099256413,0.158313418,6.875669956,11.46049232,2502,25,59.99454268,7.054530363,4.584822364,64.9911777,1.666818273,4.405961957,2.469707999,0.904099925,5.73024616,3.501130793,-0.012281,1.894653553,,2.522751069,-0.07443
0,0,24.74,8/17/2021 11:22,0.0354,11.76227203,0.41638443,12.62951464,12.62951464,2503,25,100,7.314669754,0,0,1,5.314844886,7.314669754,1.989881887,6.31475732,3.501130793,-0.012281,3.501130793,1.338557619,2.522751069,-0.07443
10,9,24.78792479,8/17/2021 11:31,0.0354,8.800519831,0.311538402,9.70076618,12.62951464,2503,25,76.81028493,7.314669754,2.92874846,40.03938057,1.301908984,5.314844886,4.385921294,1.478399705,6.31475732,3.501130793,-0.012281,3.134773742,0.224061171,2.522751069,-0.07443
20,19,24.7,8/17/2021 11:41,0.0354,7.971598136,0.282194574,8.787050207,12.62951464,2503,25,69.5755178,7.314669754,3.842464433,52.53093526,1.437287183,5.314844886,3.472205321,1.244789931,6.31475732,3.501130793,-0.012281,2.772493234,,2.522751069,-0.07443
30,29,24.59,8/17/2021 11:51,0.0354,7.470671186,0.26446176,8.234881096,12.62951464,2503,25,65.20346451,7.314669754,4.394633544,60.07972597,1.533660838,5.314844886,2.92003621,1.071596017,6.31475732,3.501130793,-0.012281,2.452080873,,2.522751069,-0.07443
40,39,24.67,8/17/2021 12:01,0.0354,7.392275254,0.261686544,8.148465677,12.62951464,2503,25,64.51923062,7.314669754,4.481048963,61.26112475,1.549925488,5.314844886,2.833620791,1.041555325,6.31475732,3.501130793,-0.012281,2.168698027,,2.522751069,-0.07443
50,49,24.81,8/17/2021 12:11,0.0354,6.879819492,0.24354561,7.583588417,12.62951464,2503,25,60.0465547,7.314669754,5.045926223,68.98365056,1.665374483,5.314844886,2.268743531,0.819226168,6.31475732,3.501130793,-0.012281,1.918065258,,2.522751069,-0.07443
0,0,25.27,8/17/2021 11:20,0.04,9.0562185,0.36224874,9.721861114,9.721861114,2504,25,100,6.144618922,0,0,1,3.577242192,6.144618922,1.815576727,4.860930557,3.501130793,-0.012281,3.501130793,0.972099306,2.522751069,-0.07443
