min_start,min_start_real,temp,DateTime_start,bw,mo2,mo2_unscaled,ID,mo2_scaled,mmr,percent_mmr,aas,fas,mo2_recovered,percent_aas,fas_available,rmr,ln_mo2_minus_rmr,B,beta,Bebt,ln_mo2_minus_Bebt,A,alpha
4.5,37,19,7/26/2022 9:38,0.029,4.639238621,0.13453792,A05,4.836096388,10.33213602,0.468063562,6.905453797,3.015201099,5.496039637,79.58984013,2.136461971,3.426682228,0.343174129,3.175950635,-0.011845,2.048979778,,4.569482683,-0.12934
14.5,47,19,7/26/2022 9:48,0.029,4.478945517,0.12988942,A05,4.669001534,10.33213602,0.451891218,6.905453797,3.015201099,5.663134491,82.00959209,2.212921959,3.426682228,0.216980041,3.175950635,-0.011845,1.820101011,,4.569482683,-0.12934
24.5,57,19,7/26/2022 9:58,0.029,4.49818069,0.13044724,A05,4.689052916,10.33213602,0.453831899,6.905453797,3.015201099,5.643083109,81.71922186,2.203459036,3.426682228,0.232991452,3.175950635,-0.011845,1.616788865,,4.569482683,-0.12934
11.63,0,19,7/26/2022 9:13,0.0122,14.42936525,0.176038256,A07,11.97392078,11.97392078,1,8.737041069,4.253754109,0,0,1,2.814906662,2.214738544,3.175950635,-0.011845,3.175950635,1.788932725,4.569482683,-0.12934
19,7,19,7/26/2022 9:20,0.0122,10.73666328,0.130987292,A07,8.782676438,11.97392078,0.73348376,8.737041069,4.253754109,3.19124434,36.52545885,1.363356702,2.814906662,1.786373286,3.175950635,-0.011845,2.923238275,1.113347031,4.569482683,-0.12934
29,17,19,7/26/2022 9:30,0.0122,6.892019344,0.084082636,A07,5.637726948,11.97392078,0.470833827,8.737041069,4.253754109,6.336193829,72.52104894,2.123891577,2.814906662,1.037736487,3.175950635,-0.011845,2.596701537,-1.48669498,4.569482683,-0.12934
4.5,25,19,7/26/2022 9:38,0.0122,5.773794754,0.070440296,A07,4.72301029,11.97392078,0.394441418,8.737041069,4.253754109,7.250910488,82.99045902,2.53523072,2.814906662,0.646109884,3.175950635,-0.011845,2.361936894,,4.569482683,-0.12934
14.5,35,19,7/26/2022 9:48,0.0122,5.558685902,0.067815968,A07,4.547049528,11.97392078,0.379746084,8.737041069,4.253754109,7.42687125,85.00442188,2.633338543,2.814906662,0.549359293,3.175950635,-0.011845,2.098099637,,4.569482683,-0.12934
24.5,45,19,7/26/2022 9:58,0.0122,5.435766557,0.066316352,A07,4.446500521,11.97392078,0.371348751,8.737041069,4.253754109,7.527420257,86.1552578,2.6928864,2.814906662,0.489557365,3.175950635,-0.011845,1.863733996,,4.569482683,-0.12934
34.5,55,19,7/26/2022 10:08,0.0122,5.987196393,0.073043796,A07,4.897574538,11.97392078,0.409020122,8.737041069,4.253754109,7.07634624,80.99248,2.444867492,2.814906662,0.733649705,3.175950635,-0.011845,1.655547881,-0.850690287,4.569482683,-0.12934
12.27,0,19,7/26/2022 9:13,0.0372,9.999767204,0.37199134,A08,11.088343,11.088343,1,9.826944939,4.12659727,0,0,1,2.687042683,2.128386494,3.175950635,-0.011845,3.175950635,1.65352172,4.569482683,-0.12934
19,7,19,7/26/2022 9:20,0.0372,6.872426882,0.25565428,A08,7.681374665,11.088343,0.692743241,9.826944939,4.12659727,3.406968339,34.66965939,1.443536279,2.687042683,1.608303666,3.175950635,-0.011845,2.923238275,0.728076829,4.569482683,-0.12934
29,17,19,7/26/2022 9:30,0.0372,5.090339301,0.189360622,A08,5.689519003,11.088343,0.513108135,9.826944939,4.12659727,5.398824,54.93898698,1.948906928,2.687042683,1.099437388,3.175950635,-0.011845,2.596701537,-0.901956995,4.569482683,-0.12934
4.5,25,19,7/26/2022 9:38,0.0372,4.573528387,0.170135256,A08,5.111874697,11.088343,0.461013399,9.826944939,4.12659727,5.976468307,60.81715471,2.16913435,2.687042683,0.885762249,3.175950635,-0.011845,2.361936894,-2.766286693,4.569482683,-0.12934
14.5,35,19,7/26/2022 9:48,0.0372,4.686046452,0.174320928,A08,5.237637171,11.088343,0.472355263,9.826944939,4.12659727,5.850705832,59.53738287,2.117050616,2.687042683,0.936326465,3.175950635,-0.011845,2.098099637,-0.792978894,4.569482683,-0.12934
24.5,45,19,7/26/2022 9:58,0.0372,4.500171022,0.167406362,A08,5.029882495,11.088343,0.453618949,9.826944939,4.12659727,6.058460508,61.65151577,2.204493447,2.687042683,0.851363788,3.175950635,-0.011845,1.863733996,-0.735833795,4.569482683,-0.12934
34.5,55,19,7/26/2022 10:08,0.0372,4.791945806,0.178260384,A08,5.356001853,11.088343,0.483029958,9.826944939,4.12659727,5.732341151,58.33289172,2.070264967,2.687042683,0.981688572,3.175950635,-0.011845,1.655547881,0.013322154,4.569482683,-0.12934
1.75,0,19,7/26/2022 9:22,0.0442,10.28397439,0.454551668,A09,11.9263177,11.9263177,1,9.552969564,4.894289216,0,0,1,2.436782375,2.250189647,3.175950635,-0.011845,3.175950635,1.842703612,4.569482683,-0.12934
10,8,19,7/26/2022 9:30,0.0442,6.732116652,0.297559556,A09,7.896718663,11.9263177,0.662125466,9.552969564,4.894289216,4.029599038,42.18163798,1.51028778,2.436782375,1.697437121,3.175950635,-0.011845,2.888816782,0.94434141,4.569482683,-0.12934
19,17,19,7/26/2022 9:39,0.0442,4.721057014,0.20867072,A09,5.537761889,11.9263177,0.46433124,9.552969564,4.894289216,6.388555812,66.87507763,2.153634977,2.436782375,1.131718034,3.175950635,-0.011845,2.596701537,-0.684627621,4.569482683,-0.12934
