min_start,min_start_real,temp,DateTime_start,bw,mo2,mo2_unscaled,ID,mo2_scaled,mmr,percent_mmr,aas,fas,mo2_recovered,percent_aas,fas_available,rmr,mo2_minus_rmr,ln_mo2_minus_rmr,mmr_50,B_20,B_30,Bebt_20,ln_mo2_minus_Bebt_20,Bebt_30,ln_mo2_minus_Bebt_30,A_20,A_30,beta_20,beta_30,alpha_20,alpha_30,aas_80_mo2,aas_80_time,fas_3_mo2,time_fas_3,time_round
9.66,0,16,8/9/2022 10:25,0.0158,10.8292419,0.171102022,A09,9.611352274,9.611352274,100,7.829573712,5.394246221,0,0,1,1.781778562,7.829573712,2.057908066,4.805676137,2.279078056,1.792847253,2.279078056,1.713887231,1.792847253,1.797861888,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.347693304,27.1,3.203784091,31.2,0
4.5,8.5,16,8/9/2022 10:31,0.0158,6.502105823,0.102733272,A09,5.71814041,9.611352274,59.49360971,7.829573712,5.394246221,3.893211864,49.72444232,1.680852792,1.781778562,3.936361848,1.370256908,4.805676137,2.279078056,1.792847253,2.063908469,0.627249539,1.692288069,0.808292866,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.347693304,,3.203784091,,10
14.5,18.5,16,8/9/2022 10:41,0.0158,4.503178734,0.071150224,A09,3.960225963,9.611352274,41.20362931,7.829573712,5.394246221,5.651126311,72.17667933,2.426970674,1.781778562,2.178447401,0.778612422,4.805676137,2.279078056,1.792847253,,,1.581180152,-0.515390613,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.347693304,,3.203784091,,20
24.5,28.5,16,8/9/2022 10:51,0.0158,3.918897215,0.061918576,A09,3.446391852,9.611352274,35.85751259,7.829573712,5.394246221,6.164960422,78.73941352,2.788815865,1.781778562,1.66461329,0.509592838,4.805676137,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.347693304,,3.203784091,,30
34.5,38.5,16,8/9/2022 11:01,0.0158,3.645179747,0.05759384,A09,3.205676773,9.611352274,33.35302548,7.829573712,5.394246221,6.405675501,81.81384756,2.998228753,1.781778562,1.423898211,0.353398329,4.805676137,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.347693304,,3.203784091,,40
44.5,48.5,16,8/9/2022 11:11,0.0158,3.489897722,0.055140384,A09,3.069117257,9.611352274,31.93221068,7.829573712,5.394246221,6.542235017,83.55799763,3.131634105,1.781778562,1.287338695,0.25257706,4.805676137,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.347693304,,3.203784091,,50
54.5,58.5,16,8/9/2022 11:21,0.0158,3.59780557,0.056845328,A09,3.164014548,9.611352274,32.91955656,7.829573712,5.394246221,6.447337726,82.34596114,3.03770799,1.781778562,1.382235986,0.323702468,4.805676137,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.347693304,,3.203784091,,60
8.18,0,16,8/9/2022 10:23,0.0114,15.08813842,0.172004778,A10,12.30173929,12.30173929,100,10.10039997,5.588297633,0,0,1,2.201339316,10.10039997,2.312575024,6.150869645,2.279078056,1.792847253,2.279078056,2.056853583,1.792847253,2.117165067,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,4.221419314,19.2,4.100579763,20.8,0
4.5,8.5,16,8/9/2022 10:31,0.0114,7.142952632,0.08142966,A10,5.733078997,12.30173929,46.60380831,10.10039997,5.588297633,6.568660293,65.0336651,2.145747389,2.201339316,3.531739681,1.261790577,6.150869645,2.279078056,1.792847253,2.063908469,0.383785946,1.692288069,0.60946749,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,4.221419314,,4.100579763,,10
14.5,18.5,16,8/9/2022 10:41,0.0114,5.549946316,0.063269388,A10,4.454499743,12.30173929,36.21032472,10.10039997,5.588297633,7.847239547,77.69236433,2.761643282,2.201339316,2.253160427,0.812333865,6.150869645,2.279078056,1.792847253,,,1.581180152,-0.397526292,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,4.221419314,,4.100579763,,20
24.5,28.5,16,8/9/2022 10:51,0.0114,5.24121,0.059749794,A10,4.206701699,12.30173929,34.19599132,10.10039997,5.588297633,8.095037591,80.14571316,2.924319377,2.201339316,2.005362383,0.695824784,6.150869645,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,4.221419314,,4.100579763,,30
34.5,38.5,16,8/9/2022 11:01,0.0114,4.828343684,0.055043118,A10,3.875326801,12.30173929,31.50226736,10.10039997,5.588297633,8.426412489,83.42652282,3.174374684,2.201339316,1.673987485,0.515208496,6.150869645,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,4.221419314,,4.100579763,,40
44.5,48.5,16,8/9/2022 11:11,0.0114,4.895936842,0.05581368,A10,3.929578443,12.30173929,31.94327526,10.10039997,5.588297633,8.372160847,82.88939912,3.130549363,2.201339316,1.728239127,0.547103044,6.150869645,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,4.221419314,,4.100579763,,50
54.5,58.5,16,8/9/2022 11:21,0.0114,4.247407895,0.04842045,A10,3.409055926,12.30173929,27.7119832,10.10039997,5.588297633,8.892683364,88.04288332,3.608547222,2.201339316,1.20771661,0.188731478,6.150869645,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,4.221419314,,4.100579763,,60
0.85,0,16,8/9/2022 10:16,0.0181,10.97518928,0.198650926,A11,10.09122864,10.09122864,100,8.014106861,4.858274918,0,0,1,2.077121779,8.014106861,2.081203346,5.04561432,2.279078056,1.792847253,2.279078056,1.746592773,1.792847253,1.827972396,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.679943151,26.3,3.36374288,36,0
8,8,16,8/9/2022 10:23,0.0181,6.918243923,0.125220215,A11,6.320081355,10.09122864,62.62945357,8.014106861,4.858274918,3.771147285,47.05636386,1.596692839,2.077121779,4.242959576,1.445261039,5.04561432,2.279078056,1.792847253,2.075983464,0.773332699,1.698043999,0.934097477,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.679943151,,3.36374288,,10
4.5,16.5,16,8/9/2022 10:31,0.0181,4.705727569,0.085173669,A11,4.298862747,10.09122864,42.59999353,8.014106861,4.858274918,5.792365893,72.27712325,2.347418197,2.077121779,2.221740968,0.798291108,5.04561432,2.279078056,1.792847253,,,1.602802244,-0.479749004,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.679943151,,3.36374288,,20
