population,min_start,min_start_real,DateTime,bw,mo2,mo2_unscaled,mo2_scaled,mmr,ID,temp,percent_mmr,aas,fas,mo2_recovered,percent_aas,fas_available,rmr,ln_mo2_minus_rmr,B,beta,A,alpha
John Day,34,34,7/15/2021 12:00,0.0213,5.022850892,0.106986724,4.802566337,14.45392628,A206,19,33.226725,11.5552476,4.986384445,9.651359944,83.52361004,3.009625535,2.89867868,0.643897931,3.120074875,-0.008048,7.646897423,-0.18171
John Day,44,44,7/15/2021 12:10,0.0213,5.312927277,0.113165351,5.079920994,14.45392628,A206,19,35.145613,11.5552476,4.986384445,9.374005288,81.12336155,2.84530533,2.89867868,0.779894583,3.120074875,-0.008048,7.646897423,-0.18171
John Day,54,54,7/15/2021 12:20,0.0213,5.422790094,0.115505429,5.184965614,14.45392628,A206,19,35.87236792,11.5552476,4.986384445,9.268960668,80.21429733,2.787660971,2.89867868,0.826929075,3.120074875,-0.008048,7.646897423,-0.18171
John Day,0,0,7/15/2021 11:34,0.0326,10.70281448,0.348911752,11.46753756,11.46753756,A207,19,100,8.600190967,3.99935522,0,0,1,2.867346592,2.151784409,3.120074875,-0.008048,7.646897423,-0.18171
John Day,8,8,7/15/2021 11:41,0.0326,7.499856687,0.244495328,8.078499273,11.46753756,A207,19,70.44667811,8.600190967,3.99935522,3.389038288,39.40654691,1.419513349,2.867346592,1.650801075,3.120074875,-0.008048,7.646897423,-0.18171
John Day,16,16,7/15/2021 11:50,0.0326,5.772447362,0.188181784,6.217813721,11.46753756,A207,19,54.22100157,8.600190967,3.99935522,5.249723839,61.04194499,1.844303814,2.867346592,1.209099778,3.120074875,-0.008048,7.646897423,-0.18171
John Day,26,26,7/15/2021 12:00,0.0326,5.013684724,0.163446122,5.400509648,11.46753756,A207,19,47.09389108,8.600190967,3.99935522,6.067027913,70.5452697,2.12341766,2.867346592,0.929468742,3.120074875,-0.008048,7.646897423,-0.18171
John Day,36,36,7/15/2021 12:10,0.0326,4.971071902,0.162056944,5.354609084,11.46753756,A207,19,46.69362586,8.600190967,3.99935522,6.112928477,71.07898534,2.141619935,2.867346592,0.911182705,3.120074875,-0.008048,7.646897423,-0.18171
John Day,46,46,7/15/2021 12:20,0.0326,5.371759632,0.175119364,5.786211403,11.46753756,A207,19,50.45731372,8.600190967,3.99935522,5.681326158,66.06046517,1.981873243,2.867346592,1.071194777,3.120074875,-0.008048,7.646897423,-0.18171
John Day,56,56,7/15/2021 12:30,0.0326,5.445537055,0.177524508,5.865681036,11.46753756,A207,19,51.15031021,8.600190967,3.99935522,5.601856525,65.13642019,1.955022356,2.867346592,1.098056949,3.120074875,-0.008048,7.646897423,-0.18171
John Day,0,0,7/15/2021 11:35,0.037,13.38823162,0.49536457,14.82488261,14.82488261,A208,19,100,12.00675701,5.260547152,0,0,1,2.818125602,2.485469575,3.120074875,-0.008048,7.646897423,-0.18171
John Day,8,8,7/15/2021 11:41,0.037,8.794125405,0.32538264,9.814449274,14.82488261,A208,19,66.20254292,12.00675701,5.260547152,5.010433338,41.73011358,1.510515995,2.818125602,1.945384821,3.120074875,-0.008048,7.646897423,-0.18171
John Day,16,16,7/15/2021 11:49,0.037,6.119076216,0.22640582,6.829031923,14.82488261,A208,19,46.06466103,12.00675701,5.260547152,7.995850689,66.59459071,2.170861518,2.818125602,1.389017231,3.120074875,-0.008048,7.646897423,-0.18171
John Day,26,26,7/15/2021 11:59,0.037,6.071085676,0.22463017,6.77547336,14.82488261,A208,19,45.70338624,12.00675701,5.260547152,8.049409252,67.0406609,2.188021681,2.818125602,1.375574043,3.120074875,-0.008048,7.646897423,-0.18171
John Day,36,36,7/15/2021 12:09,0.037,5.91187,0.21873919,6.597784948,14.82488261,A208,19,44.50480399,12.00675701,5.260547152,8.227097663,68.52056435,2.246948442,2.818125602,1.329633885,3.120074875,-0.008048,7.646897423,-0.18171
John Day,46,46,7/15/2021 12:19,0.037,6.203200811,0.22951843,6.922916935,14.82488261,A208,19,46.69795449,12.00675701,5.260547152,7.901965676,65.81265591,2.141421419,2.818125602,1.412154909,3.120074875,-0.008048,7.646897423,-0.18171
John Day,56,56,7/15/2021 12:29,0.037,6.323459459,0.233968,7.057128394,14.82488261,A208,19,47.60326661,12.00675701,5.260547152,7.767754218,64.6948565,2.100696173,2.818125602,1.444328051,3.120074875,-0.008048,7.646897423,-0.18171
John Day,0,0,7/16/2021 10:04,0.052,13.75873423,0.71545418,16.64466079,16.64466079,2201,22,100,12.40661698,3.927439529,0,0,1,4.238043811,2.518229958,3.120074875,-0.008048,7.57186951,-0.15927
John Day,8,8,7/16/2021 10:10,0.052,9.20465,0.4786418,11.29965056,16.64466079,2201,22,67.88753886,12.40661698,3.927439529,5.345010226,43.08193148,1.473024383,4.238043811,1.95467261,3.120074875,-0.008048,7.57186951,-0.15927
John Day,16,16,7/16/2021 10:18,0.052,6.516394231,0.3388525,7.999541289,16.64466079,2201,22,48.06070482,12.40661698,3.927439529,8.645119498,69.68152166,2.080701904,4.238043811,1.324817144,3.120074875,-0.008048,7.57186951,-0.15927
John Day,24,24,7/16/2021 10:26,0.052,5.940617308,0.3089121,7.292716148,16.64466079,2201,22,43.81414702,12.40661698,3.927439529,9.351944639,75.37868424,2.282367838,4.238043811,1.116672332,3.120074875,-0.008048,7.57186951,-0.15927
John Day,32,32,7/16/2021 10:45,0.052,5.797451154,0.30146746,7.116965032,16.64466079,2201,22,42.75824616,12.40661698,3.927439529,9.527695755,76.79527602,2.338730163,4.238043811,1.057415648,3.120074875,-0.008048,7.57186951,-0.15927
John Day,42,42,7/16/2021 10:55,0.052,5.7099175,0.29691571,7.009508507,16.64466079,2201,22,42.1126546,12.40661698,3.927439529,9.63515228,77.66139872,2.37458315,4.238043811,1.019375952,3.120074875,-0.008048,7.57186951,-0.15927
John Day,52,52,7/16/2021 11:05,0.052,8.877079615,0.46160814,10.89752437,16.64466079,2201,22,65.47159179,12.40661698,3.927439529,5.747136422,46.32315506,1.527380002,4.238043811,1.896041487,3.120074875,-0.008048,7.57186951,-0.15927
John Day,0,0,7/16/2021 10:02,0.0575,8.330290087,0.47899168,10.34449663,10.34449663,2202,22,100,7.357615337,3.463310259,0,0,1,2.986881295,1.995735877,3.120074875,-0.008048,7.57186951,-0.15927
John Day,8,8,7/16/2021 10:10,0.0575,5.585398087,0.32116039,7.052416064,10.34449663,2202,22,68.17553638,7.357615337,3.463310259,3.292080567,44.74385268,1.466801808,2.986881295,1.402545289,3.120074875,-0.008048,7.57186951,-0.15927
John Day,16,16,7/16/2021 10:18,0.0575,4.404180261,0.253240365,5.560948591,10.34449663,2202,22,53.75755621,7.357615337,3.463310259,4.783548041,65.01492429,1.860203607,2.986881295,0.945487253,3.120074875,-0.008048,7.57186951,-0.15927
John Day,24,24,7/16/2021 10:26,0.0575,3.880745478,0.223142865,4.900032428,10.34449663,2202,22,47.36849556,7.357615337,3.463310259,5.444464204,73.9976739,2.11110779,2.986881295,0.64875169,3.120074875,-0.008048,7.57186951,-0.15927
