date,box,channel,cycle_file_start,sectioned_slope_start,sectioned_slope_end,type
jul26,3,3,0,1046,1050,smr
jul26,3,3,0,1055,1060,smr
jul26,3,3,0,1104,1108,smr
jul26,3,3,0,1214,1219,smr
jul26,3,3,0,1267,1270,smr
jul26,3,3,0,1326,1330,smr
jul25,1,1,0,5,10,smr
jul25,1,1,0,15,20,smr
jul25,1,1,0,54,59,smr
jul25,1,1,0,284,288,smr
jul25,1,1,0,274,279,smr
jul25,1,1,0,376,380,smr
jul25,1,1,0,594,599,smr
jul25,1,1,0,854,859,smr
jul25,1,1,0,844,849,smr
jul25,1,1,0,884,889,smr
jul25,1,1,0,745,750,smr
jul25,1,1,1034,0,0,smr
jul25,1,2,0,35,40,smr
jul25,1,2,0,244,247.5,smr
jul25,1,2,0,114,119,smr
jul25,1,2,0,204,209,smr
jul25,1,2,0,264,269,smr
jul25,1,2,0,67,70,smr
jul25,1,2,0,76.5,80,smr
jul25,1,2,0,85,90,smr
jul25,1,2,0,304,309,smr
jul25,1,2,0,834,839,smr
jul25,1,2,0,855,860,smr
jul25,1,2,0,864,869,smr
jul25,1,2,0,874,879,smr
jul25,1,2,0,954,957,smr
jul25,1,2,0,925,929,smr
jul25,1,2,0,1014,1019,smr
jul25,1,2,1034,0,0,smr
jul25,1,3,0,115,119,smr
jul25,1,3,0,204,209,smr
jul25,1,3,0,234,239.5,smr
jul25,1,3,0,244,247.5,smr
jul25,1,3,0,276,280,smr
jul25,1,3,0,264,269,smr
jul25,1,3,0,64,67,smr
jul25,1,3,0,76.5,80,smr
jul25,1,3,0,85,90,smr
jul25,1,3,0,594,599,smr
jul25,1,3,0,554,559.5,smr
jul25,1,3,0,766,770,smr
jul25,1,3,0,894,899,smr
jul25,1,3,0,884,889,smr
jul25,1,3,0,874,879,smr
jul25,1,3,0,864,869,smr
jul25,1,3,0,954,957,smr
jul25,1,3,0,944,949.5,smr
jul25,1,3,0,834,839,smr
jul25,1,3,0,856,860,smr
jul25,1,3,0,925.5,929,smr
jul25,1,3,0,1014,1019,smr
jul25,1,3,1034,0,0,smr
jul25,3,3,0,26,30,smr
jul25,3,3,0,273,278,smr
jul25,3,3,0,293,299,smr
jul25,3,3,0,363,369,smr
jul25,3,3,0,865,870,smr
jul25,3,3,0,855,860,smr
jul25,3,3,0,834,837,smr
jul25,3,3,0,1003,1009,smr
jul25,3,3,0,973,979,smr
jul25,3,3,0,984,989,smr
jul26,1,1,0,26,30,smr
jul26,1,1,0,245,247,smr
jul26,1,1,0,257,260,smr
jul26,1,1,0,264,267.5,smr
jul26,1,1,0,164,168.5,smr
jul26,1,1,0,177.5,180,smr
jul26,1,1,0,184,187.5,smr
jul26,1,1,0,274,278.5,smr
jul26,1,1,0,414,417.5,smr
jul26,1,1,0,424,429,smr
jul26,1,1,0,516,520,smr
jul26,1,1,0,345.5,350,smr
jul26,1,1,0,767,770,smr
jul26,1,1,0,616,620,smr
jul26,1,1,0,706.5,710,smr
jul26,1,1,0,1176,1180,smr
jul26,1,2,0,204,209,smr
jul26,1,2,0,224,229,smr
jul26,1,2,0,545,547,
jul26,1,2,0,235,240,smr
jul26,1,2,0,285.5,290,smr
jul26,1,2,0,184,189.5,smr
jul26,1,2,0,194,198,smr
jul26,1,2,0,275,280,smr
jul26,1,2,0,394,397,smr
jul26,1,2,0,415,420,smr
jul26,1,2,0,404,407,smr
jul26,1,2,0,427.5,430,smr
jul26,1,2,0,1024,1029,smr
jul26,1,2,0,1034,1039,smr
jul26,1,2,0,1064,1067,smr
jul26,1,2,0,1176,1180,smr
jul26,1,2,0,1166,1170,smr
jul26,1,2,0,1285,1290,smr
jul26,1,2,0,1295,1297.5,smr
jul26,1,2,0,1115,1120,smr
jul26,1,2,0,1245,1250,smr
jul26,1,2,0,1215,1220,smr
jul26,1,2,0,1317,1320,smr
jul26,1,2,0,1324,1329,smr
jul26,1,3,0,6,10,smr
jul26,1,3,0,15.5,20,smr
jul26,1,3,0,144,147.5,smr
jul26,1,3,0,154,158,smr
jul26,1,3,0,204,209,smr
jul26,1,3,0,255,260,smr
jul26,1,3,0,265.5,270,smr
jul26,1,3,0,394,399.5,smr
jul26,1,3,0,384,388,smr
jul26,1,3,0,496,500,smr
jul26,1,3,0,444,447,smr
jul26,1,3,0,565,570,smr
jul26,1,3,0,535,540,smr
jul26,1,3,0,1095,1100,smr
jul26,1,3,0,1194,1199,smr
jul26,1,4,0,24,28,smr
jul26,1,4,0,47,50,smr
jul26,1,4,0,224,228.5,smr
jul26,1,4,0,244,247.5,smr
jul26,1,4,0,266,270,smr
jul26,1,4,0,165,170,smr
jul26,1,4,0,366,370,smr
jul26,1,4,0,424,427,smr
jul26,1,4,0,504,508.5,smr
jul26,1,4,0,765,770,smr
jul26,1,4,0,657,660,smr
jul26,1,4,0,1324,1327.5,smr
jul26,1,4,0,1335,1338.5,smr
jul26,1,4,0,394,398,smr
jul27,1,4,0,124,129,smr
jul27,1,4,0,205,210,smr
jul27,1,4,0,215,220,smr
jul27,1,4,0,245,250,smr
jul27,1,4,0,144,149,smr
jul27,1,4,0,135,140,smr
jul27,1,4,0,105,109,smr
jul27,1,4,0,154,159,smr
jul27,1,4,0,195,200,smr
jul27,1,4,0,295,300,smr
jul27,1,4,0,95,100,smr
jul27,1,4,0,265,270,smr
jul27,1,4,0,375,380,smr
jul27,1,4,0,446,450,smr
jul27,1,4,0,454,457,smr
jul27,1,4,0,416.5,420,smr
jul27,1,4,0,406,410,smr
jul27,1,4,0,534,537.5,smr
jul27,1,4,0,544,548,smr
jul27,1,4,0,677,680,smr
jul27,1,4,0,784,787,smr
jul27,1,4,0,664,667,smr
jul27,1,4,0,844,847,smr
jul27,1,4,915,0,0,smr
jul27,1,4,0,1016,1020,smr
jul27,1,4,0,1024,1027,smr
jul27,1,4,1035,0,0,smr
jul27,1,4,0,1074,1077,smr
jul27,1,4,0,974,977,smr
jul27,1,4,0,987,990,smr
jul27,1,4,0,1126.5,1130,smr
jul27,1,4,1145,0,0,smr
jul27,1,4,0,1066,1070,smr
jul27,1,4,0,1165,1170,smr
jul27,1,4,0,1148,1150,smr
jul27,2,1,0,5.5,10,smr
jul27,2,1,0,44,48,smr
jul27,2,1,0,124,128,smr
jul27,2,1,0,144,148,smr
jul27,2,1,0,247.5,250,smr
jul27,2,1,0,205,209,smr
jul27,2,1,214,0,0,smr
jul27,2,1,0,154,156.5,smr
jul27,2,1,0,66,70,smr
jul27,2,1,0,505,510,smr
jul27,2,1,0,354,359,smr
jul27,2,1,0,377,380,smr
jul27,2,1,0,444,449,smr
jul27,2,1,0,564,568,smr
jul27,2,1,574,0,0,smr
jul27,2,1,0,397.5,400,smr
jul27,2,1,0,1017,1020,smr
jul27,2,1,0,985,990,smr
jul27,2,2,0,104,109,smr
jul27,2,2,0,117.5,120,smr
jul27,2,2,0,124,128.5,smr
jul27,2,2,0,144,149,smr
jul27,2,2,0,154,159,smr
jul27,2,2,0,75,78,smr
jul27,2,2,0,166,170,smr
jul27,2,2,0,175,180,smr
jul27,2,2,0,185,190,smr
jul27,2,2,94,0,0,smr
jul27,2,2,0,205,210,smr
jul27,2,2,0,244,248,smr
jul27,2,2,0,256.5,260,smr
jul27,2,2,0,574,578,smr
jul27,2,2,0,364,369,smr
jul27,2,2,0,374,379,smr
jul27,2,2,0,354,358,smr
jul27,2,2,0,525,530,smr
jul27,2,2,0,426,430,smr
jul27,2,2,0,506,510,smr
jul27,2,2,0,1004,1008,smr
jul27,2,2,0,1024,1029,smr
jul27,2,2,0,1044,1049,smr
jul27,2,2,0,1134,1139,smr
jul27,2,2,1154,0,0,smr
jul27,2,2,0,985,990,smr
jul27,2,2,0,466,470,smr
jul27,2,3,4,0,0,smr
jul27,2,3,0,124,128,smr
jul27,2,3,0,144,148,smr
jul27,2,3,0,296,300,smr
jul27,2,3,0,275,277,smr
jul27,2,3,0,265,270,smr
jul27,2,3,0,245,250,smr
jul27,2,3,0,235,237,smr
jul27,2,3,0,224,228,smr
jul27,2,3,0,216,220,smr
jul27,2,3,114,0,0,smr
jul27,2,3,104,0,0,smr
jul27,2,3,0,507,510,smr
jul27,2,3,0,425,429,smr
jul27,2,3,0,436,438,smr
jul27,2,3,0,376,380,smr
jul27,2,3,0,464,469,smr
jul27,2,3,0,395,400,smr
jul27,2,3,0,985,990,smr
jul27,2,4,0,15,20,smr
jul27,2,4,114,0,0,smr
jul27,2,4,104,0,0,smr
jul27,2,4,0,124,128,smr
jul27,2,4,0,144,148,smr
jul27,2,4,0,215,219,smr
jul27,2,4,0,154,157,smr
jul27,2,4,0,274,277,smr
jul27,2,4,0,298,300,smr
jul27,2,4,0,454,459,smr
jul27,2,4,374,0,0,smr
jul27,2,4,384,0,0,smr
jul27,2,4,0,985,990,smr
jul27,2,4,0,1085,1090,smr
jul27,2,4,0,1115,1120,smr
